f_name, R_at_min_dG/dR, min_dG/dR, max_G, R_at_max_G
datasets/barred_galaxies/poisson_noise_bg_run672.00800_2_highres.fits.png,216.0,0.13499093253872615,0.15538286321837566,156.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.00800_1_highres.fits.png,180.0,0.1950701295710611,0.2381390411729848,108.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00300_3_highres.fits.png,156.0,0.19680899284920791,0.22965242945970935,108.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.01300_1_highres.fits.png,60.0,0.018625812043401604,0.20935051537552157,300.0
datasets/barred_galaxies/poisson_noise_bg_run700.00900_1_highres.fits.png,252.0,0.10653851851709804,0.11991924199659966,168.0
datasets/barred_galaxies/poisson_noise_bg_run661.00800_3_highres.fits.png,252.0,0.20364385414761577,0.2341246198765919,180.0
datasets/barred_galaxies/poisson_noise_bg_run695.01300_4_highres.fits.png,96.0,0.17573431249380989,0.20717956866501563,60.0
datasets/barred_galaxies/poisson_noise_bg_run662c.01100_1_highres.fits.png,204.0,0.1714221115836171,0.19814067429038754,144.0
datasets/barred_galaxies/poisson_noise_bg_run672.00600_3_highres.fits.png,132.0,0.10763957475234646,0.12039601522443183,72.0
datasets/barred_galaxies/poisson_noise_bg_run677.01000_3_highres.fits.png,204.0,0.21012539958884774,0.23608395884773106,156.0
datasets/barred_galaxies/poisson_noise_bg_run688.01000_1_highres.fits.png,192.0,0.11666494986403983,0.1291394778816182,144.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.01300_2_highres.fits.png,84.0,0.03538958248314052,0.15935211643425648,300.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.00800_2_highres.fits.png,204.0,0.19219962245799388,0.22117840922391352,132.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.01400_4_highres.fits.png,96.0,0.036918434269436126,0.1546982013967486,300.0
datasets/barred_galaxies/poisson_noise_bg_run672.01300_1_highres.fits.png,228.0,0.15753791558275873,0.17724285197349646,168.0
